stock_id,name,chip_trend_days,chip_concentration_threshold,chip_latest_date,chip_available_days,chip_concentration_pct,chip_concentration_pct_t0,chip_concentration_pct_t1,chip_concentration_pct_t2,chip_date_t0,chip_date_t1,chip_date_t2,chip_concentration_score,main_force_net,main_force_net_t0,main_force_net_t1,main_force_net_t2,main_force_score,broker_diff,broker_diff_t0,broker_diff_t1,broker_diff_t2,broker_diff_score,chip_signal_state,chip_signal_text,chips_updated_at,chips_status,chips_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
2881,富邦金,3,15.0,2026-06-10,3,4.03,4.03,4.92,3.8,2026-06-10,2026-06-09,2026-06-08,0.0,5520930,5520930,8696491,7957506,1.0,-37,-37,-117,-33,-1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:22:18,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:31
2885,元大金,3,15.0,2026-06-10,3,3.45,3.45,0.33,1.46,2026-06-10,2026-06-09,2026-06-08,0.0,-2115880,-2115880,206918,-1356652,-0.5,211,211,-105,165,0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:22:23,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:35
2891,中信金,3,15.0,2026-06-10,3,1.31,1.31,1.79,1.9,2026-06-10,2026-06-09,2026-06-08,0.0,-1626058,-1626058,-1919323,-1753535,-1.0,99,99,-79,53,0.5,bearish,主力連3賣，籌碼偏弱,2026-06-10 10:22:25,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:38
2912,統一超,3,15.0,2026-06-10,3,5.27,5.27,1.7,7.19,2026-06-10,2026-06-09,2026-06-08,0.0,362980,362980,-132390,-864441,-0.5,76,76,171,408,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:22:26,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:37
3008,大立光,3,15.0,2026-06-10,3,4.15,4.15,9.18,1.19,2026-06-10,2026-06-09,2026-06-08,0.0,494822,494822,410098,64020,1.0,-31,-31,-595,124,-0.5,bullish_distributed,主力連3買但買賣家數差偏正，可能偏分散,2026-06-10 10:22:29,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:43
3013,晟銘電,3,15.0,2026-06-10,3,0.07,0.07,6.89,1.29,2026-06-10,2026-06-09,2026-06-08,0.0,5757,5757,-851306,-133737,-0.5,136,136,153,54,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:22:29,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:41
3017,奇鋐,3,15.0,2026-06-10,3,0.41,0.41,2.24,1.17,2026-06-10,2026-06-09,2026-06-08,0.0,-47676,-47676,-285400,-101802,-1.0,132,132,98,104,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:22:31,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:46
3023,信邦,3,15.0,2026-06-10,3,1.32,1.32,4.52,1.23,2026-06-10,2026-06-09,2026-06-08,0.0,80072,80072,263333,123000,1.0,182,182,40,-3,0.5,bullish_distributed,主力連3買但買賣家數差偏正，可能偏分散,2026-06-10 10:22:35,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:47
3035,智原,3,15.0,2026-06-10,3,0.57,0.57,1.78,3.02,2026-06-10,2026-06-09,2026-06-08,0.0,-65319,-65319,-226525,-450493,-1.0,96,96,35,115,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:22:37,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:51
3037,欣興,3,15.0,2026-06-10,3,0.17,0.17,1.32,1.0,2026-06-10,2026-06-09,2026-06-08,0.0,-90499,-90499,614372,506461,0.5,20,20,3,15,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:22:38,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:56
3042,晶技,3,15.0,2026-06-10,3,0.41,0.41,0.68,1.16,2026-06-10,2026-06-09,2026-06-08,0.0,744894,744894,880915,512157,1.0,-3,-3,-4,2,-0.5,bullish_distributed,主力連3買但買賣家數差偏正，可能偏分散,2026-06-10 10:22:41,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:56
3044,健鼎,3,15.0,2026-06-10,3,0.72,0.72,0.11,0.47,2026-06-10,2026-06-09,2026-06-08,0.0,-91173,-91173,9699,-42387,-0.5,211,211,-25,206,0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:22:43,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:56
3081,聯亞,3,15.0,2026-06-10,3,7.88,7.88,1.49,3.11,2026-06-10,2026-06-09,2026-06-08,0.0,-375941,-375941,-67976,-148123,-1.0,154,154,151,188,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:22:46,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:00
3131,弘塑,3,15.0,2026-06-10,3,0.11,0.11,3.35,4.25,2026-06-10,2026-06-09,2026-06-08,0.0,996,996,-29600,-26539,-0.5,-43,-43,5,272,0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:22:47,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:58
3163,波若威,3,15.0,2026-06-10,3,2.42,2.42,0.16,1.97,2026-06-10,2026-06-09,2026-06-08,0.0,-341721,-341721,9680,-105199,-0.5,177,177,128,171,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:22:51,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:23:04
