stock_id,name,eps_Y,eps_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_latest,per_60d_high,per_60d_low,pbr_latest,pbr_60d_high,pbr_60d_low,period_start,period_end,eps_Y_is_prev,eps_ttm_is_prev,gross_margin_is_prev,operating_margin_is_prev,net_margin_is_prev,per_latest_is_prev,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
2486,一詮,0.29,0.52,0.69,3.96,55.15,31.37,21.05,5.19,6.54,6.99,5.64,6.21,3.81,2.4,3.34,494.12,1395.45,488.24,11.18,13.73,7.78,,,False,False,False,False,False,False,False,2026-06-08 18:36:18,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:21
2881,富邦金,2.14,8.37,53.36,303.05,123.43,-541.1,,,,,,,,,,15.96,16.23,11.19,1.78,1.81,1.38,,,False,False,False,False,False,False,False,2026-06-08 18:36:21,partial_ok,no_data:profit,ok,,ok,,no_data,empty,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:24
2885,元大金,0.74,2.74,17.25,38.9,-2.91,126.9,,,,,,,,,,19.08,20.62,16.95,2.3,2.43,1.86,,,False,False,False,False,False,False,False,2026-06-08 18:36:24,partial_ok,no_data:profit,ok,,ok,,no_data,empty,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:27
2891,中信金,1.02,4.08,19.69,50.38,-23.84,93.98,,,,,,,,,,15.76,16.99,13.08,2.34,2.52,2.04,,,False,False,False,False,False,False,False,2026-06-08 18:36:27,partial_ok,no_data:profit,ok,,ok,,no_data,empty,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:30
2912,統一超,2.97,10.96,29.91,0.51,-2.65,4.88,34.58,0.51,0.63,4.26,1.31,-0.02,4.03,0.82,0.01,20.24,22.42,18.82,4.97,5.83,4.62,,,False,False,False,False,False,False,False,2026-06-08 18:36:30,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:33
3008,大立光,46.63,157.76,4.59,-14.35,-0.45,41.83,49.41,1.44,-5.22,37.39,0.64,-4.36,39.73,0.23,-5.15,22.06,24.87,14.23,2.51,2.82,1.6,,,False,False,False,False,False,False,False,2026-06-08 18:36:33,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:36
3013,晟銘電,1.37,4.56,1.01,-23.87,94.82,1.71,21.15,-0.05,4.79,13.33,-1.0,5.04,9.6,-1.07,2.43,26.43,30.02,21.6,4.49,4.98,3.67,,,False,False,False,False,False,False,False,2026-06-08 18:36:36,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:39
3017,奇鋐,20.17,61.06,15.87,1.54,13.23,60.64,29.77,3.38,3.94,24.51,3.55,5.82,17.69,2.5,2.65,42.23,60.2,38.45,22.34,25.89,19.34,,,False,False,False,False,False,False,False,2026-06-08 18:36:39,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:42
3023,信邦,3.6,12.77,3.01,1.72,15.34,17.53,24.51,0.87,0.0,11.53,2.38,-1.5,10.4,1.28,-0.9,25.25,25.76,20.58,4.42,4.51,3.77,,,False,False,False,False,False,False,False,2026-06-08 18:36:42,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:45
3035,智原,0.4,1.88,0.93,-3.86,26.16,-45.07,47.3,5.14,27.02,3.7,0.84,-1.26,5.22,-2.68,0.49,93.62,116.22,53.02,3.36,4.17,2.97,,,False,False,False,False,False,False,False,2026-06-08 18:36:45,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:48
3037,欣興,3.28,7.06,14.06,0.91,21.2,32.37,17.96,2.19,4.58,7.36,0.54,3.15,14.37,3.08,11.3,133.97,194.21,118.09,12.76,15.2,9.16,,,False,False,False,False,False,False,False,2026-06-08 18:36:48,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:51
3042,晶技,1.32,5.22,1.22,-5.55,20.01,10.5,32.33,0.15,-3.06,15.08,1.01,-1.2,13.5,-0.11,-1.36,40.17,41.51,20.24,4.73,4.89,2.3,,,False,False,False,False,False,False,False,2026-06-08 18:36:51,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:54
3044,健鼎,5.61,20.58,8.2,12.07,5.84,28.9,26.51,1.04,1.54,18.34,1.26,1.69,14.05,1.03,0.3,23.23,25.71,19.2,4.31,4.86,3.63,,,False,False,False,False,False,False,False,2026-06-08 18:36:54,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:57
3081,聯亞,3.44,7.64,0.41,2.52,39.62,118.84,54.76,6.09,22.41,41.27,8.48,31.42,35.11,5.48,25.81,327.86,629.83,321.29,54.45,68.97,46.48,,,False,False,False,False,False,False,False,2026-06-08 18:36:57,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:00
3131,弘塑,16.11,52.85,0.54,9.73,1.83,-4.36,33.78,-8.32,-7.03,13.15,-16.41,-9.16,28.87,2.74,8.32,57.67,76.63,49.11,22.08,26.49,17.39,,,False,False,False,False,False,False,False,2026-06-08 18:37:00,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:03
3163,波若威,3.03,8.64,0.21,6.22,21.62,29.97,18.86,0.6,1.06,5.32,0.29,0.67,37.15,-0.42,27.76,110.53,208.2,104.17,24.09,33.94,22.7,,,False,False,False,False,False,False,False,2026-06-08 18:37:03,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:06
3167,大量,3.19,10.3,0.96,10.77,67.29,120.27,42.34,0.22,8.06,21.03,2.79,9.62,14.49,-0.76,3.83,84.31,106.3,69.49,21.39,23.49,14.9,2026-05-26,2026-06-08,False,False,False,False,False,False,False,2026-06-08 18:37:07,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:37:09
